,Wine,Location,Rating,Price,Year
59,Nelle 2015 Syrah (California),California Other,92,38.0,2015
60,Badge 2014 Syrah (Santa Barbara County),Central Coast,92,29.0,2014
61,Betz Family 2015 La Serenne Boushey Vineyard Syrah (Yakima Valley),Columbia Valley,92,60.0,2015
62,Efeste 2015 Jolie Bouche Boushey Vineyard Syrah (Yakima Valley),Columbia Valley,92,44.0,2015
63,Whitcraft 2016 My Friend Matts Vineyard Syrah (Los Olivos District),Central Coast,92,38.0,2016
64,Efeste 2015 Eléni Red Willow Vineyard Syrah (Yakima Valley),Columbia Valley,91,59.0,2015
65,Schmidt 2014 Syrah (Applegate Valley),Southern Oregon,91,40.0,2014
66,Betz Family 2015 La Côte Rousse Syrah (Red Mountain),Columbia Valley,91,60.0,2015
67,D'Alfonso-Curran 2014 Black Oak Vineyard Syrah (Santa Barbara County),Central Coast,91,42.0,2014
68,Descendant 2014 Les Collines Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,91,33.0,2014
69,Efeste 2014 Oldfield Estate Syrah (Yakima Valley),Columbia Valley,91,65.0,2014
70,Bonny Doon 2013 Le Posseur Syrah (Central Coast),Central Coast,91,26.0,2013
71,Iris Vineyards 2016 Steelhead Run Vineyard Syrah (Applegate Valley),Southern Oregon,90,26.0,2016
72,Ledger David 2014 Syrah (Rogue Valley),Southern Oregon,90,42.0,2014
73,Leoness 2014 Alessandro Vineyard Syrah (Temecula Valley),South Coast,90,52.0,2014
74,Helioterra 2014 Dion Vineyard Syrah (Willamette Valley),Willamette Valley,90,34.0,2014
75,Montage Vineyards 2012 Seven Sons Vineyard Syrah,South Coast,90,45.0,2012
76,Castoro Cellars 2015 Reserve Syrah (Paso Robles),Central Coast,90,25.0,2015
77,Three of Cups 2015 L'Astre Les Collines Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,88,30.0,2015
78,Martin Ranch 2014 Therese Vineyards Dos Ninas Vineyard Syrah (Santa Clara Valley),Central Coast,88,29.0,2014
79,Descendant 2014 Syrah (Red Mountain),Columbia Valley,88,33.0,2014
80,J & J 2015 Summit View Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,87,30.0,2015
81,Boomtown 2015 Syrah (Columbia Valley (WA)),Columbia Valley,87,19.0,2015
82,Rosemont 2015 Syrah (Virginia),Virginia,87,20.0,2015
83,William Marie 2016 Syrah (Columbia Valley (WA)),Columbia Valley,86,25.0,2016
84,Twin Cedars 2014 Syrah (Red Mountain),Columbia Valley,86,30.0,2014
85,Amalie Robert 2012 Top Barrel Syrah (Willamette Valley),Willamette Valley,83,100.0,2012
86,Sanguis 2013 Pilgrim Syrah (Central Coast),Central Coast,95,80.0,2013
87,K Vintners 2014 Royal City Stoneridge Vineyard Syrah (Washington),Washington Other,95,140.0,2014
88,K Vintners 2014 Cattle King Upland Vineyard Syrah (Snipes Mountain),Columbia Valley,94,70.0,2014
89,K Vintners 2014 Powerline Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,94,45.0,2014
90,Pence 2015 Sebastiano Syrah (Sta. Rita Hills),Central Coast,94,56.0,2015
91,Adelaida 2015 Anna's Estate Vineyard Syrah (Adelaida District),Central Coast,94,75.0,2015
92,Avennia 2015 Le Corbeau Discovery Vineyard Syrah (Horse Heaven Hills),Columbia Valley,93,50.0,2015
93,Carlisle 2015 Rosella's Vineyard Syrah (Santa Lucia Highlands),Central Coast,93,45.0,2015
94,Stolo 2015 Hillside Reserve Syrah (San Luis Obispo County),Central Coast,93,54.0,2015
95,Avennia 2015 Arnaut Boushey Vineyard Syrah (Yakima Valley),Columbia Valley,93,50.0,2015
96,K Vintners 2014 Rock Garden Syrah (Walla Walla Valley (WA)),Columbia Valley,93,55.0,2014
97,Carlisle 2015 Sierra Mar Vineyard Syrah (Santa Lucia Highlands),Central Coast,93,45.0,2015
98,K Vintners 2014 Klein Syrah (Walla Walla Valley (WA)),Columbia Valley,93,70.0,2014
99,Sanguis 2014 Misfit Syrah (Central Coast),Central Coast,92,50.0,2014
100,Santa Barbara Winery 2014 Reserve Syrah (Santa Ynez Valley),Central Coast,92,30.0,2014
101,Topa Mountain Winery 2014 John Sebastiano Vineyard Syrah (Santa Barbara County),Central Coast,92,48.0,2014
102,Ken Brown 2014 A Cuvée Syrah (Santa Barbara County),Central Coast,92,35.0,2014
103,K Vintners 2014 Phil Lane Syrah (Walla Walla Valley (WA)),Columbia Valley,92,70.0,2014
104,Flanagan 2014 Syrah (Bennett Valley),Sonoma,91,75.0,2014
105,Mi Sueño 2014 Syrah (Napa Valley),Napa,91,55.0,2014
106,Longboard 2014 Dakine Vineyard Syrah (Russian River Valley),Sonoma,91,48.0,2014
107,Thacher 2014 Solo Concert Coast View Vineyard Syrah (Monterey),Central Coast,91,48.0,2014
108,Ampelos 2014 Gamma Ampelos Vineyard Syrah (Sta. Rita Hills),Central Coast,91,35.0,2014
109,Pride Mountain 2014 Syrah (Sonoma County),Sonoma,91,60.0,2014
110,Eric Kent 2014 Las Madres Vineyard Syrah (Carneros),Napa-Sonoma,91,44.0,2014
111,Brander 2016 Colson Canyon Vineyard Syrah (Santa Barbara County),Central Coast,90,40.0,2016
112,Eric Kent 2014 Atoosa's Vineyard Syrah (Russian River Valley),Sonoma,90,40.0,2014
113,Eric Kent 2014 Kalen's Big Boy Blend Syrah (Sonoma County),Sonoma,90,46.0,2014
114,Bevela 2014 Old Fashioned Superstition Tierra Alta Vineyard Syrah (Ballard Canyon),Central Coast,90,40.0,2014
115,Hungry Hawk 2015 Syrah (San Diego County),South Coast,90,44.0,2015
116,Gershon Bachus 2013 Auster Syrah (California),California Other,89,49.0,2013
117,Muscardini 2013 Gracie Creek Vineyards Syrah (Sonoma Valley),Sonoma,89,38.0,2013
118,Lois Rae 2014 Las Madres Vineyard Syrah (Carneros),Napa-Sonoma,88,35.0,2014
119,Monticello Vineyards 2014 Estate Grown Syrah (Oak Knoll District),Napa,88,48.0,2014
120,Castoro Cellars 2015 Whale Rock Vineyard Reserve Syrah (Paso Robles),Central Coast,87,30.0,2015
121,San Luis Bay Winery 2014 Rosé of Syrah (Santa Maria Valley),Central Coast,86,25.0,2014
122,Maryhill 2014 Syrah (Columbia Valley (WA)),Columbia Valley,85,26.0,2014
123,Sanguis 2014 1/1 Syrah (Central Coast),Central Coast,96,125.0,2014
124,Sanguis 2014 Bossman Syrah (Central Coast),Central Coast,95,80.0,2014
125,Bonny Doon 2014 X Block Bien Nacido Vineyard Syrah (Santa Maria Valley),Central Coast,95,50.0,2014
126,Peake Ranch 2015 John Sebastiano Vineyard Syrah (Sta. Rita Hills),Central Coast,94,65.0,2015
127,Saint K 2016 Old Potrero Vineyard Syrah (Arroyo Grande Valley),Central Coast,94,33.0,2016
128,Jaffurs 2014 Thompson Vineyard Syrah (Santa Barbara County),Central Coast,93,50.0,2014
129,Central Coast Group Project 2012 Names White Hawk Vineyard Syrah (Santa Barbara County),Central Coast,93,75.0,2012
130,Stolpman 2015 Angeli Syrah (Ballard Canyon),Central Coast,93,68.0,2015
131,Jaffurs 2014 Bien Nacido Vineyard Syrah (Santa Barbara County),Central Coast,93,50.0,2014
132,Central Coast Group Project 2013 Captain Kierk AKA The Knightwalker Larner Vineyard Syrah (Ballard Canyon),Central Coast,93,75.0,2013
133,Stolpman 2015 Estate Grown Syrah (Ballard Canyon),Central Coast,93,30.0,2015
134,Foxen 2015 Tinaquaic Vineyard Syrah (Santa Maria Valley),Central Coast,93,50.0,2015
135,Jaffurs 2014 Upslope Syrah (Santa Barbara County),Central Coast,92,75.0,2014
136,Zenaida Cellars 2014 Syrah (Templeton Gap District),Central Coast,92,40.0,2014
137,Heath Vineyards 2014 Syrah (Paso Robles Willow Creek District),Central Coast,92,75.0,2014
138,Santa Barbara Winery 2014 Syrah (Santa Ynez Valley),Central Coast,92,20.0,2014
139,Jaffurs 2014 Kimsey Vineyard Syrah (Santa Barbara County),Central Coast,92,50.0,2014
140,Jaffurs 2015 Syrah (Santa Barbara County),Central Coast,91,29.0,2015
141,Stolpman 2015 Originals Syrah (Ballard Canyon),Central Coast,91,42.0,2015
142,Azios 2013 Paradise Road Syrah (Santa Barbara County),Central Coast,91,30.0,2013
143,Grey Wolf Cellars 2015 Predator Syrah (Paso Robles),Central Coast,89,40.0,2015
144,Plumb Cellars 2013 Estate JK Vineyard IV Syrah (Walla Walla Valley (WA)),Columbia Valley,89,28.0,2013
145,Vidon Vineyard 2015 Saturn Syrah (Chehalem Mountains),Willamette Valley,89,50.0,2015
146,Owen Roe 2014 Union Gap Syrah (Yakima Valley),Columbia Valley,88,55.0,2014
147,Marshall Davis 2015 Syrah (Columbia Valley (WA)),Columbia Valley,88,29.0,2015
148,Helioterra 2014 Syrah (Columbia Valley (WA)),Columbia Valley,87,28.0,2014
149,Bergevin Lane 2013 She-Devil Syrah (Columbia Valley (WA)),Columbia Valley,87,24.0,2013
150,Penner-Ash 2015 Syrah (Oregon),Oregon Other,87,40.0,2015
151,Bells Up 2015 Summit View Vineyard Syrah (Walla Walla Valley (OR)),Oregon Other,87,36.0,2015
152,Maryhill 2014 Proprietor's Reserve Syrah (Columbia Valley (WA)),Columbia Valley,87,38.0,2014
153,Snoqualmie 2015 Syrah (Yakima Valley),Columbia Valley,86,10.0,2015
154,Cathedral Ridge 2014 Syrah (Columbia Valley (OR)),Oregon Other,86,34.0,2014
155,Redgate 2016 Syrah (Umpqua Valley),Southern Oregon,85,30.0,2016
156,Armstrong Family 2014 The Scotsman Syrah (Horse Heaven Hills),Columbia Valley,84,36.0,2014
157,Hecho por Ruben 2013 Harrison Clarke Vineyard Syrah (Ballard Canyon),Central Coast,95,55.0,2013
158,Hug 2013 Shadow Canyon Vineyard Syrah (York Mountain),Central Coast,94,48.0,2013
159,Stolpman 2014 Ruben's Block Syrah (Ballard Canyon),Central Coast,94,98.0,2014
160,Foxen 2015 Williamson-Dore VIneyard Syrah (Los Olivos District),Central Coast,94,48.0,2015
161,Stolpman 2015 Hilltops Syrah (Ballard Canyon),Central Coast,94,48.0,2015
162,Zaca Mesa 2014 Black Bear Block Syrah (Santa Ynez Valley),Central Coast,93,68.0,2014
163,Kimsey 2014 Syrah (Ballard Canyon),Central Coast,93,60.0,2014
164,Jaffurs 2014 Larger Vineyard Syrah (Santa Barbara County),Central Coast,93,50.0,2014
165,Bien Nacido 2014 Syrah (Santa Maria Valley),Central Coast,93,60.0,2014
166,Hecho por Ruben 2014 Syrah (Ballard Canyon),Central Coast,93,55.0,2014
167,Central Coast Group Project 2013 Fauve Thompson Vineyard Syrah (Santa Barbara County),Central Coast,93,75.0,2013
168,Barton 2013 Paradise City Syrah (Paso Robles Willow Creek District),Central Coast,93,60.0,2013
169,Zaca Mesa 2014 Estrella Syrah (Santa Ynez Valley),Central Coast,91,65.0,2014
170,Love That Red 2015 Dead Heat Syrah (Columbia Valley (WA)),Columbia Valley,91,32.0,2015
171,Zaca Mesa 2014 Chapel G Syrah (Santa Ynez Valley),Central Coast,91,48.0,2014
172,Cinder 2015 Syrah,Idaho,91,29.0,2015
173,Reyes 2011 Estate Syrah (Sierra Pelona Valley),South Coast,91,32.0,2011
175,Dunites 2015 Spanish Springs Vineyard Syrah (San Luis Obispo County),Central Coast,90,32.0,2015
176,Colter's Creek 2014 Syrah,Idaho,89,17.0,2014
177,Andrew Rich 2014 Red Willow Vineyard Syrah (Columbia Valley (WA)),Columbia Valley,89,40.0,2014
178,Montemar Wines 2012 Watch Hill Vineyard EBA Syrah (Santa Barbara County),Central Coast,89,40.0,2012
179,Zaca Mesa 2014 Syrah (Santa Ynez Valley),Central Coast,88,25.0,2014
180,Spicy Vines 2016 Rosé of Syrah (Sierra Foothills),Sierra Foothills,88,28.0,2016
181,Rancho Sisquoc 2015 Flood Family Vineyards Syrah (Santa Barbara County),Central Coast,88,25.0,2015
182,North by Northwest 2014 Syrah (Walla Walla Valley (WA)),Columbia Valley,88,40.0,2014
183,Sandler 2015 Connell Vineyard Syrah (Bennett Valley),Sonoma,88,20.0,2015
184,Love That Red 2015 Stakes Race Syrah (Columbia Valley (WA)),Columbia Valley,88,36.0,2015
185,Montemar Wines 2012 Watch Hill Vineyard Syrah (Santa Barbara County),Central Coast,88,36.0,2012
186,Dunham 2014 Syrah (Columbia Valley (WA)),Columbia Valley,88,35.0,2014
187,Longship 2015 Ginger Man Syrah (Walla Walla Valley (WA)),Columbia Valley,87,32.0,2015
188,Windy Canyon 2014 Syrah (Walla Walla Valley (WA)),Columbia Valley,87,30.0,2014
189,Chateau Ste. Michelle 2014 Syrah (Columbia Valley (WA)),Columbia Valley,87,15.0,2014
190,Stemilt Creek 2014 Ascent One-half Mile Closer to the Moon Syrah (Columbia Valley (WA)),Columbia Valley,86,45.0,2014
191,Clearwater Canyon 2014 Estate Umiker Vineyard Syrah (Lewis-Clark Valley (ID)),Idaho,86,28.0,2014
192,Limerick Lane 2015 Headpruned Block Syrah (Russian River Valley),Sonoma,95,50.0,2015
193,MacLaren 2014 Samantha's Vineyard Syrah (Russian River Valley),Sonoma,94,43.0,2014
194,Terre Rouge 2014 Ascent Syrah (Sierra Foothills),Sierra Foothills,94,90.0,2014
195,Chamisal Vineyards 2014 Califa Syrah (Edna Valley),Central Coast,94,48.0,2014
196,Marietta Cellars 2014 Gibson Block Syrah (McDowell Valley),California,94,36.0,2014
197,Terre Rouge 2014 Sentinel Oak Vineyard Pyramid Block Syrah (Shenandoah Valley (CA)),Sierra Foothills,93,40.0,2014
198,Roark Wine Co. 2015 Alondra de los Prados Syrah (Santa Ynez Valley),Central Coast,93,48.0,2015
199,Brave & Maiden 2014 Limited Syrah (Santa Ynez Valley),Central Coast,93,65.0,2014
200,Hug 2015 Kimsey Vineyard Syrah (Santa Barbara County),Central Coast,93,50.0,2015
201,Terre Rouge 2014 High Slopes Syrah (Sierra Foothills),Sierra Foothills,92,40.0,2014
202,Sol Rouge 2013 Syrah (Red Hills Lake County),California,92,36.0,2013
203,Amador Cellars 2014 Syrah (Amador County),Sierra Foothills,92,30.0,2014
204,MacLaren 2014 Atoosa's Vineyard Syrah (Russian River Valley),Sonoma,92,43.0,2014
205,MacLaren 2014 Moaveni Vineyard Syrah (Bennett Valley),Sonoma,92,47.0,2014
206,Tensley 2015 Syrah (Santa Barbara County),Central Coast,92,28.0,2015
207,Cowhorn 2013 Reserve Syrah (Applegate Valley),Southern Oregon,92,75.0,2013
208,McKahn 2015 Syrah (St. Helena),Napa,92,45.0,2015
209,Naggiar 2014 Estate Reserve Syrah (Sierra Foothills),Sierra Foothills,92,38.0,2014
210,Terre Rouge 2014 Monarch Mine Vineyard Syrah (Sierra Foothills),Sierra Foothills,91,40.0,2014
211,Hart 2014 Volcanic Ridge Vineyard Limited Release Reserve Syrah (Temecula Valley),South Coast,91,60.0,2014
212,VGS Chateau Potelle 2015 Syrah (Mount Veeder),Napa,91,80.0,2015
213,Terre Rouge 2014 DTR Ranch Syrah (Fiddletown),Sierra Foothills,91,40.0,2014
214,Cedarville Vineyard 2014 Estate Syrah (El Dorado),Sierra Foothills,91,29.0,2014
215,Austin Hope 2014 Syrah (Templeton Gap District),Central Coast,91,55.0,2014
216,Chateau Ste. Michelle 2013 Ethos Reserve Syrah (Columbia Valley (WA)),Columbia Valley,89,50.0,2013
217,Ca' Del Grevino 2014 Estate Vineyards Syrah (Santa Maria Valley),Central Coast,89,80.0,2014
218,Waterbrook 2015 Syrah (Columbia Valley (WA)),Columbia Valley,88,13.0,2015
219,Terre Rouge 2014 Les Côtes De L'Ouest Syrah (California),California Other,88,20.0,2014
220,Naggiar 2015 Estate Syrah (Nevada County),Sierra Foothills,88,26.0,2015
221,Grevino 2014 Estate Vineyards Syrah (Santa Maria Valley),Central Coast,87,55.0,2014
222,Bontzu 2014 Syrah (Walla Walla Valley (WA)),Columbia Valley,85,45.0,2014
223,Cedar View Winery 2014 Syrah (California),California Other,85,24.0,2014
224,Maison Bleue 2014 Voyageur Yellow Jacket Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,94,50.0,2014
225,Barbieri 2013 Colson Canyon Vineyard Syrah (Santa Barbara County),Central Coast,94,44.0,2013
226,Tensley 2015 Noir Syrah (Santa Barbara County),Central Coast,94,55.0,2015
227,Tensley 2015 Tensley Vineyard Syrah (Santa Barbara County),Central Coast,94,42.0,2015
228,Cherry Newton 2014 Rancho Boa Vista Vineyard Syrah (Ballard Canyon),Central Coast,94,55.0,2014
229,Tensley 2015 OGT Syrah (Santa Barbara County),Central Coast,94,90.0,2015
230,Barbieri 2014 Colson Canyon Vineyard Syrah (Santa Barbara County),Central Coast,94,48.0,2014
231,Barbieri 2013 Rodney's Vineyard Syrah (Santa Barbara County),Central Coast,93,48.0,2013
232,Kaleidos 2014 Syrah (Paso Robles),Central Coast,93,36.0,2014
233,Ila 2014 Syrah (Santa Ynez Valley),Central Coast,93,48.0,2014
235,Dilecta 2014 Shadow Canyon Syrah (Paso Robles),Central Coast,93,46.0,2014
236,Dubost 2013 Syrah (Paso Robles),Central Coast,93,50.0,2013
237,Tensley 2015 Turner Vineyard Syrah (Santa Barbara County),Central Coast,93,42.0,2015
238,Tensley 2015 BMT Syrah (Santa Barbara County),Central Coast,93,90.0,2015
239,Frequency 2015 Watch Hill Syrah (Santa Barbara County),Central Coast,93,38.0,2015
240,K Vintners 2014 The Hidden Northridge Vineyard Syrah (Wahluke Slope),Columbia Valley,93,70.0,2014
241,Barbieri 2013 Romanvs Syrah (Santa Barbara County),Central Coast,93,55.0,2013
242,Frequency 2015 Mormann Syrah (Sta. Rita Hills),Central Coast,92,38.0,2015
243,JM Cellars 2014 Boushey Vineyard Syrah (Yakima Valley),Columbia Valley,92,48.0,2014
244,Pulchella 2015 Decorus Syrah (Willow Creek),North Coast,92,55.0,2015
245,Walla Walla Vintners 2014 Estate Syrah (Walla Walla Valley (WA)),Columbia Valley,92,50.0,2014
246,Frequency 2015 Zotovich Syrah (Sta. Rita Hills),Central Coast,92,38.0,2015
247,Barbieri 2014 Rodney's Vineyard Syrah (Santa Barbara County),Central Coast,92,48.0,2014
248,K Vintners 2014 The Deal Sundance Vineyard Syrah (Wahluke Slope),Columbia Valley,92,40.0,2014
249,W.T. Vintners 2014 Stoney Vine Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,92,48.0,2014
250,Amor Fati 2015 Murmur Vineyard Syrah (Santa Maria Valley),Central Coast,92,60.0,2015
251,Barbieri 2014 Romanvs Syrah (Santa Barbara County),Central Coast,92,55.0,2014
252,Kaleidos 2014 Praying Mantis Syrah (Paso Robles),Central Coast,92,65.0,2014
253,Barbieri 2015 Reeves Ranch Vineyard Syrah (Santa Barbara County),Central Coast,92,46.0,2015
254,Pulchella 2014 Block 6 Reserve La Vista Vineyard Syrah (Adelaida District),Central Coast,91,64.0,2014
255,Boekenoogen 2015 Bell Ranch Vineyard Syrah (Monterey),Central Coast,91,35.0,2015
256,Saviah 2014 The Stones Speak Funk Estate Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,91,55.0,2014
257,Eberle 2015 Steinbeck Vineyard Syrah (Paso Robles),Central Coast,91,28.0,2015
258,Amor Fati 2014 Murmur Vineyard Syrah (Santa Maria Valley),Central Coast,91,60.0,2014
259,Syncline 2015 Boushey Vineyard Syrah (Yakima Valley),Columbia Valley,91,45.0,2015
260,Eternal 2015 Eternal Restraint Syrah (Walla Walla Valley (WA)),Columbia Valley,90,60.0,2015
261,Lobo Hills 2013 Spilya Vineyard Syrah (Yakima Valley),Columbia Valley,90,30.0,2013
262,Novelty Hill 2014 Stillwater Creek Vineyard Syrah (Columbia Valley (WA)),Columbia Valley,90,28.0,2014
263,Eternal 2015 Eternal Darkness Cockburn Ranch Syrah (Walla Walla Valley (WA)),Columbia Valley,90,60.0,2015
264,Eternal 2015 Eternal Heritage Syrah (Walla Walla Valley (WA)),Columbia Valley,90,60.0,2015
265,Lobo Hills 2013 Stonetree Vineyard Syrah (Wahluke Slope),Columbia Valley,90,30.0,2013
267,Municipal Winemakers 2014 Syrah (Santa Barbara County),Central Coast,89,28.0,2014
268,Cadaretta 2014 Syrah (Columbia Valley (WA)),Columbia Valley,89,35.0,2014
269,Tensley 2015 Syrah (Central Coast),Central Coast,89,18.0,2015
270,Kestrel 2013 Falcon Series Estate Syrah (Yakima Valley),Columbia Valley,89,25.0,2013
271,Januik 2014 Weinbau Vineyard Syrah (Wahluke Slope),Columbia Valley,88,30.0,2014
272,Milbrandt 2014 Single Vineyard Series Clifton Hill Vineyard Syrah (Wahluke Slope),Columbia Valley,88,45.0,2014
273,Finn Hill 2013 L'abime Corfu Crossing Vineyard Syrah (Columbia Valley (WA)),Columbia Valley,88,35.0,2013
274,Adega Northwest 2014 McB Vineyard Syrah (Walla Walla Valley (WA)),Columbia Valley,88,28.0,2014
275,Januik 2014 Ciel du Cheval Vineyard Syrah (Red Mountain),Columbia Valley,88,35.0,2014
276,Stottle 2013 6 Prong Vineyard Syrah (Horse Heaven Hills),Columbia Valley,88,32.0,2013
277,:Nota Bene 2013 Syrah (Columbia Valley (WA)),Columbia Valley,88,25.0,2013
278,:Nota Bene 2013 Ciel du Cheval Vineyard Syrah (Red Mountain),Columbia Valley,87,40.0,2013
279,Milbrandt 2014 Single Vineyard Series Katherine Leone Vineyard Syrah (Wahluke Slope),Columbia Valley,87,45.0,2014
280,Cerebella 2014 Syrah (Walla Walla Valley (WA)),Columbia Valley,87,25.0,2014
281,:Nota Bene 2013 Stone Tree Vineyard Syrah (Wahluke Slope),Columbia Valley,87,35.0,2013
282,Hors Categorie 2014 Syrah (Walla Walla Valley (OR)),Oregon Other,96,240.0,2014
283,Cayuse 2014 Bionic Frog Syrah (Walla Walla Valley (OR)),Oregon Other,94,105.0,2014
284,Horsepower 2014 The Tribe Vineyard Syrah (Walla Walla Valley (OR)),Oregon Other,94,120.0,2014
285,Cayuse 2014 Cailloux Vineyard Syrah (Walla Walla Valley (OR)),Oregon Other,94,85.0,2014
